date,sku_id,units_used,on_hand,stock_in_transit,lead_time_days,price_per_unit,is_holiday,patient_admissions,ved_category,fsn_category,days_cover,expiry_days_remaining,expiry_risk_bucket,sku_name,facility_id,facility_name,day_of_week,is_weekend,day_of_month,month,week_of_year,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_cv_7,rolling_cv_14,consumption_trend_7d,day_over_day_pct_change
01-02-2024,MED001,104,107,0,5,43.71,0,175,Vital,Fast,12.27868852,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,1,2,5,146,82,103,84,117,99,31.94787421,89.64285714,25.47580192,86.5,20.17979529,0.323,0.284,2.25,-0.288
02-02-2024,MED001,91,383,157,4,27.23,0,248,Vital,Fast,38.85507246,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,2,2,5,104,83,139,87,96,92.14285714,26.64225073,89.92857143,25.46631043,86.33333333,20.1191851,0.289,0.283,7.107,-0.125
03-02-2024,MED001,81,433,0,6,30.93333333,1,187,Vital,Fast,52.25862069,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,3,2,5,91,146,68,67,94,94,25.08651696,90.92857143,24.76183256,85.9,20.08833939,0.267,0.272,2.464,-0.11
04-02-2024,MED001,70,346,168,4.333333333,31.30333333,1,228,Vital,Fast,49.42857143,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,4,2,5,81,104,71,67,105,93.85714286,25.24168887,91.14285714,24.55091144,84.73333333,19.95673481,0.269,0.269,-3.393,-0.136
05-02-2024,MED001,89,477,161,4,27.56666667,0,189,Vital,Fast,57.56896552,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,5,2,6,70,91,82,74,69,94.85714286,24.82893857,92.21428571,24.06778431,85.4,19.74597296,0.262,0.261,-5.607,0.271
06-02-2024,MED001,70,300,0,5.333333333,21.99333333,0,222,Vital,Fast,42.85714286,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,6,2,6,89,81,83,74,113,93,26.30589288,91.92857143,24.32303209,83.96666667,19.22728545,0.283,0.265,-9.964,-0.213
07-02-2024,MED001,82,318,249,5,39.78666667,0,215,Vital,Fast,36.49180328,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,7,2,6,70,70,146,90,80,83.85714286,12.10273483,91.35714286,24.46538259,84.03333333,19.21652187,0.144,0.268,-3.571,0.171
08-02-2024,MED001,82,107,0,5,23.47666667,0,184,Vital,Fast,18.725,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,8,2,6,82,89,104,103,78,80.71428571,8.24043457,89.85714286,24.34008136,84.16666667,19.1870706,0.102,0.271,-0.893,0
09-02-2024,MED001,90,223,0,5.333333333,11.56666667,0,207,Vital,Fast,30.01923077,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,9,2,6,82,70,91,139,73,80.57142857,8.038597366,86.35714286,19.83628045,84.73333333,19.09672897,0.1,0.23,1.571,0.098
10-02-2024,MED001,102,300,163,4.666666667,24.78333333,1,217,Vital,Fast,22.34042553,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,10,2,6,90,82,81,68,96,83.57142857,11.42886904,88.78571429,19.49429333,84.93333333,19.24960068,0.137,0.22,3.929,0.133
11-02-2024,MED001,70,449,85,4.666666667,27.16333333,1,181,Vital,Fast,68.32608696,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,11,2,6,102,82,70,71,94,83.57142857,11.42886904,88.71428571,19.566174,84.13333333,19.35820833,0.137,0.221,0.536,-0.314
12-02-2024,MED001,92,258,0,6,18.59333333,0,230,Vital,Fast,37.625,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,12,2,7,70,90,89,82,68,84,11.71893055,89.42857143,19.48456701,84.93333333,19.16342301,0.14,0.218,2.214,0.314
13-02-2024,MED001,81,274,112,6.333333333,38.7,0,230,Vital,Fast,39.95833333,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,13,2,7,92,102,70,83,62,85.57142857,10.16295795,89.28571429,19.54257117,85.56666667,18.68741663,0.119,0.219,-0.107,-0.12
14-02-2024,MED001,160,128,184,6,18.9,0,219,Vital,Fast,17.56862745,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,14,2,7,81,70,82,146,77,96.71428571,29.6575695,90.28571429,22.7610618,88.33333333,23.01773429,0.307,0.252,7.357,0.975
15-02-2024,MED001,77,196,165,4.666666667,26.93,0,177,Vital,Fast,26.90196078,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,15,2,7,160,92,82,104,78,96,30.12750681,88.35714286,22.65326311,88.3,23.03393299,0.314,0.256,3.143,-0.519
16-02-2024,MED001,87,442,0,5.666666667,21.00333333,0,194,Vital,Fast,68.75555556,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,16,2,7,77,81,90,91,73,95.57142857,30.2481798,88.07142857,22.64258848,88.76666667,22.85438664,0.316,0.257,1.321,0.13
17-02-2024,MED001,73,152,135,5.666666667,35,1,223,Vital,Fast,22.63829787,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,17,2,7,87,160,102,81,84,91.42857143,31.19218461,87.5,22.93385137,88.4,23.02112972,0.341,0.262,-0.179,-0.161
18-02-2024,MED001,60,256,6,4.333333333,26.43333333,1,208,Vital,Fast,40.72727273,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,18,2,7,73,77,70,70,87,90,32.53715825,86.78571429,23.66489959,87.5,23.59829041,0.362,0.273,-6.607,-0.178
19-02-2024,MED001,90,308,92,6,36.37,0,188,Vital,Fast,40.67924528,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,19,2,8,60,87,92,89,67,89.71428571,32.52544791,86.85714286,23.67360472,88.26666667,23.28079471,0.363,0.273,-6.321,0.5
20-02-2024,MED001,72,488,0,5.666666667,20.26666667,0,223,Vital,Fast,69.71428571,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,20,2,8,90,73,81,70,67,88.42857143,33.10013667,87,23.56986342,88.43333333,23.14077359,0.374,0.271,-9.464,-0.2
21-02-2024,MED001,82,411,0,3.666666667,19.7,0,215,Vital,Fast,62.54347826,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,21,2,8,72,60,160,82,74,77.28571429,10.19336853,87,23.56986342,88.7,23.01446322,0.132,0.271,0.071,0.139
22-02-2024,MED001,67,106,153,4.666666667,23.33,0,161,Vital,Fast,16.48888889,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,22,2,8,82,90,77,82,74,75.85714286,10.915258,85.92857143,24.14846479,88.46666667,23.20334895,0.144,0.281,-1.071,-0.183
23-02-2024,MED001,92,311,204,5.666666667,30.86,0,179,Vital,Fast,41.0754717,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,23,2,8,67,72,87,90,90,76.57142857,11.88636674,86.07142857,24.18029804,88.53333333,23.21077831,0.155,0.281,2.25,0.373
24-02-2024,MED001,58,155,172,4.333333333,30.18333333,1,198,Vital,Fast,24.11111111,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,24,2,8,92,82,73,102,103,74.42857143,13.83060788,82.92857143,24.80218441,87.03333333,23.69269251,0.186,0.299,-0.25,-0.37
25-02-2024,MED001,77,396,203,5.666666667,29.32333333,1,190,Vital,Fast,45.44262295,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,25,2,8,58,67,60,70,139,76.85714286,12.28045292,83.42857143,24.59116253,84.96666667,21.61653794,0.16,0.295,-2.036,0.328
26-02-2024,MED001,93,465,340,4,22.28333333,0,205,Vital,Fast,59.18181818,30,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,26,2,9,77,92,90,92,68,77.28571429,12.85449708,83.5,24.61941073,85.8,21.42090503,0.166,0.295,1.571,0.208
27-02-2024,MED001,119,312,157,4.666666667,32.93666667,0,179,Vital,Fast,35.22580645,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,27,2,9,93,58,72,81,71,84,19.94993734,86.21428571,26.35607818,87.4,22.0604186,0.237,0.306,5.286,0.28
28-02-2024,MED001,109,295,0,6.333333333,21.46,0,219,Vital,Fast,35.60344828,90,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,28,2,9,119,77,82,160,82,87.85714286,22.00324651,82.57142857,17.36359714,88.3,22.38094941,0.25,0.21,7.679,-0.084
29-02-2024,MED001,79,294,163,6.333333333,35.72666667,0,203,Vital,Fast,40.35294118,30,CRITICAL (<30d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,29,2,9,109,93,67,77,83,89.57142857,20.52524578,82.71428571,17.32241132,88.16666667,22.42548325,0.229,0.209,3.75,-0.275
01-03-2024,MED001,108,341,175,5,32,0,179,Vital,Fast,36.16666667,180,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,1,3,9,79,119,92,87,146,91.85714286,21.69814563,84.21428571,18.58526534,86.9,19.98680599,0.236,0.221,6.071,0.367
02-03-2024,MED001,83,360,182,4.333333333,24.44333333,1,201,Vital,Fast,45.81818182,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,2,3,9,108,109,58,73,104,95.42857143,16.67190394,84.92857143,18.31125877,86.2,19.73339546,0.175,0.216,0.286,-0.231
03-03-2024,MED001,70,250,305,5,31.16333333,1,250,Vital,Fast,36.45833333,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,3,3,9,83,79,77,60,91,94.42857143,18.10945557,85.64285714,17.43827419,85.5,19.9287524,0.192,0.204,-5.071,-0.157
04-03-2024,MED001,109,101,70,6.666666667,23.47666667,0,217,Vital,Fast,10.55223881,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,4,3,10,70,108,93,90,81,96.71428571,18.89192319,87,18.50987263,86.43333333,20.36170058,0.195,0.213,-3.714,0.557
05-03-2024,MED001,110,297,129,5.333333333,37.69,0,162,Vital,Fast,31.5,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,5,3,10,109,83,119,72,70,95.42857143,17.36718307,89.71428571,18.92263021,87.76666667,20.55720921,0.182,0.211,0.893,0.009
06-03-2024,MED001,113,430,2,5,29.06333333,0,196,Vital,Fast,44.92537313,90,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,6,3,10,110,70,109,82,89,96,17.94435844,91.92857143,19.74633086,88.56666667,21.06751599,0.187,0.215,4.714,0.027
07-03-2024,MED001,93,117,80,6,35.85666667,0,237,Vital,Fast,14.625,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,7,3,10,113,109,79,67,70,98,16.45195024,93.78571429,18.39807085,89.33333333,20.7851627,0.168,0.196,1.964,-0.177
08-03-2024,MED001,88,374,242,5,34.26333333,0,199,Vital,Fast,45.92982456,90,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,8,3,10,93,110,108,92,82,95.14285714,16.15991513,93.5,18.45889404,89.53333333,20.74098613,0.17,0.197,2.321,-0.054
09-03-2024,MED001,65,257,163,5.333333333,35.3,1,189,Vital,Fast,36.71428571,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,9,3,10,88,113,83,58,82,92.57142857,19.50091573,94,17.49285568,88.96666667,21.18145469,0.211,0.186,-2.643,-0.261
10-03-2024,MED001,66,461,0,5.333333333,30.20333333,1,218,Vital,Fast,71.71111111,60,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,10,3,10,65,93,70,77,90,92,20.31419865,93.21428571,18.53138117,88.16666667,21.59036077,0.221,0.199,-8.714,0.015
11-03-2024,MED001,78,445,11,4.333333333,21.87333333,0,185,Vital,Fast,56.63636364,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,11,3,11,66,88,109,93,102,87.57142857,19.34646516,92.14285714,18.97308678,87.36666667,21.50458385,0.221,0.206,-7.786,0.182
12-03-2024,MED001,71,130,169,5,31.08,0,222,Vital,Fast,18.2,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,12,3,11,78,65,110,119,70,82,17.32050808,88.71428571,18.06155531,87.4,21.47749424,0.211,0.204,-6.357,-0.09
13-03-2024,MED001,85,437,148,5.666666667,39.06,0,204,Vital,Fast,65.08510638,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,13,3,11,71,66,113,109,92,78,11.07549848,87,17.10150691,87.16666667,21.46381612,0.142,0.197,-1.607,0.197
14-03-2024,MED001,77,423,0,6.333333333,25.62333333,0,191,Vital,Fast,49.35,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,14,3,11,85,78,93,79,81,75.71428571,8.901578244,86.85714286,17.18164111,87.03333333,21.51580547,0.118,0.198,0.429,-0.094
15-03-2024,MED001,172,416,58,4.333333333,27.10333333,0,223,Vital,Fast,30.33333333,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,15,3,11,77,71,88,108,160,87.71428571,37.83170754,91.42857143,28.21269296,87.43333333,22.98077657,0.431,0.309,12.5,1.234
16-03-2024,MED001,63,497,0,5.333333333,46.92333333,1,188,Vital,Fast,74.0212766,90,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,16,3,11,172,85,65,83,77,87.42857143,38.03882728,90,29.16267372,86.96666667,23.33930137,0.435,0.324,6.607,-0.634
17-03-2024,MED001,65,176,148,4.333333333,34.20666667,1,156,Vital,Fast,28,90,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,17,3,11,63,77,66,70,87,87.28571429,38.13447384,89.64285714,29.45559146,86.23333333,23.68133753,0.437,0.329,1.143,0.032
18-03-2024,MED001,83,159,190,6.666666667,23.76333333,0,204,Vital,Fast,23.68085106,365,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,18,3,12,65,172,78,109,73,88,37.97806384,87.78571429,28.95667472,86.56666667,23.55870632,0.432,0.33,-0.643,0.277
19-03-2024,MED001,67,457,147,7,27.38333333,0,180,Vital,Fast,78.02439024,180,MEDIUM (90-180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,1,0,19,3,12,83,63,71,110,60,87.42857143,38.30516563,84.71428571,28.6985086,86.8,23.31996333,0.438,0.339,-5.321,-0.193
20-03-2024,MED001,71,182,196,5,27.48333333,0,184,Vital,Fast,30.33333333,30,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,2,0,20,3,12,67,65,85,113,90,85.42857143,38.81519094,81.71428571,27.69178876,86.16666667,23.48746303,0.454,0.339,-7.429,0.06
21-03-2024,MED001,88,455,178,4.666666667,27.64666667,0,204,Vital,Fast,54.9137931,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,3,0,21,3,12,71,83,77,93,72,87,38.63935817,81.35714286,27.5670013,86.7,23.33585372,0.444,0.339,-8.357,0.239
22-03-2024,MED001,63,307,321,6.666666667,26.81333333,0,251,Vital,Fast,51.16666667,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,4,0,22,3,12,88,67,172,88,82,71.42857143,10.09714717,79.57142857,27.91116205,86.06666667,23.72243712,0.141,0.351,1.214,-0.284
23-03-2024,MED001,62,345,225,3.666666667,18.04666667,1,191,Vital,Fast,58.90243902,90,LOW (>180d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,5,1,23,3,12,63,71,63,65,67,71.28571429,10.24230257,79.35714286,28.04284399,85.9,23.87806669,0.144,0.353,-1,-0.016
24-03-2024,MED001,75,471,125,4,35.31666667,1,189,Vital,Fast,70.14893617,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,6,1,24,3,12,62,88,65,66,92,72.71428571,9.911513267,80,27.81532505,85.33333333,23.92997447,0.136,0.348,-1.5,0.21
25-03-2024,MED001,96,399,0,4.333333333,36.31333333,0,189,Vital,Fast,44.33333333,60,HIGH (30-90d),Paracetamol Tablet 500mg,FAC001,Urban PHC Kalyan,0,0,25,3,13,75,63,83,78,58,74.57142857,12.92100542,81.28571429,28.1299965,86.6,23.43383937,0.173,0.346,2.464,0.28
